code,stage,axis,text
EF08CO01,8º ano,Pensamento Computacional,Construir soluções de problemas usando a técnica de recursão e automatizar tais soluções usando uma linguagem de programação.
EF08CO02,8º ano,Pensamento Computacional,"Criar soluções de problemas para os quais seja adequado o uso de listas para descrever suas informações e automatizá-las usando uma linguagem de programação, empregando ou não a recursão como uma técnica de resolver o problema."
EF08CO03,8º ano,Pensamento Computacional,Utilizar algoritmos clássicos de manipulação sobre listas.
EF08CO04,8º ano,Pensamento Computacional,"Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares."
EF08CO05,8º ano,Mundo Digital,"Compreender os conceitos de paralelismo, concorrência e armazenamento/processamento distribuídos."
EF08CO06,8º ano,Mundo Digital,Entender como é a estrutura e funcionamento da internet.
EF08CO07,8º ano,Cultura Digital,"Compartilhar informações por meio de redes sociais, compreendendo a sua dinâmica de funcionamento, de forma responsável e avaliando sua confiabilidade, considerando o respeito e a ética."
EF08CO08,8º ano,Cultura Digital,Distinguir os tipos de dados pessoais que são solicitados em espaços digitais e os riscos associados.
EF08CO09,8º ano,Cultura Digital,Analisar criticamente as políticas de termos de uso das redes sociais e demais plataformas.
EF08CO10,8º ano,Cultura Digital,Discutir questões sobre segurança e privacidade relacionadas ao uso dos ambientes virtuais.
EF08CO11,8º ano,Cultura Digital,"Avaliar a precisão, relevância, adequação, abrangência e vieses que ocorrem em fontes de informação eletrônica."
EF09CO01,9º ano,Pensamento Computacional,Criar soluções de problemas para os quais seja adequado o uso de árvores e grafos para descrever suas informações e automatizá-las usando uma linguagem de programação.
EF09CO02,9º ano,Pensamento Computacional,"Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas, aperfeiçoando e articulando saberes escolares."
EF09CO03,9º ano,Pensamento Computacional,Usar autômatos para descrever comportamentos de forma abstrata automatizando-os através de uma linguagem de programação baseada em eventos.
EF09CO04,9º ano,Mundo Digital,Compreender o funcionamento de malwares e outros ataques cibernéticos.
